iter	RMSE
0	0.3835569272
1	0.3686214629
2	0.3559524978
3	0.3437964964
4	0.3328045706
5	0.3218590143
6	0.3117469516
7	0.3012401273
8	0.2923965546
9	0.2836200783
10	0.2749632522
11	0.2679099509
12	0.260026017
13	0.2527905376
14	0.2466803906
15	0.2402454486
16	0.2343682236
17	0.2287274685
18	0.2234969345
19	0.2186936123
20	0.214370855
21	0.2098760965
22	0.2053717365
23	0.2013620767
24	0.1983015139
25	0.1949590572
26	0.1917518265
27	0.188217757
28	0.1850572795
29	0.182112714
30	0.1795576622
31	0.1767366817
32	0.1741741278
33	0.1717207855
34	0.1693321579
35	0.1674598426
36	0.1654913883
37	0.1638191399
38	0.1619262229
39	0.1601735981
40	0.1586832331
41	0.1570423221
42	0.1556602576
43	0.1542240393
44	0.1531025487
45	0.1519142544
46	0.150580157
47	0.1494156515
48	0.148322516
49	0.1472337852
50	0.1461922812
51	0.1454658513
52	0.1442296701
53	0.1433428037
54	0.1426323628
55	0.1416543661
56	0.1407599886
57	0.140047784
58	0.1391919112
59	0.1383780463
60	0.137657327
61	0.1370578984
62	0.1361570769
63	0.1354420012
64	0.1346624734
65	0.1341109075
66	0.1335103182
67	0.1329599294
68	0.132213646
69	0.1316570032
70	0.1312692304
71	0.1306574855
72	0.1301389155
73	0.1294684329
74	0.1290847502
75	0.1287369286
76	0.1284788489
77	0.1281035981
78	0.127541775
79	0.1269490236
80	0.1265029557
81	0.1261442587
82	0.1257461268
83	0.1252296899
84	0.1247413359
85	0.1243674831
86	0.1240324008
87	0.1237454629
88	0.1232804079
89	0.1230601093
90	0.1226268262
91	0.1223212471
92	0.1219987588
93	0.1216827316
94	0.1213100483
95	0.1210148428
96	0.1206119358
97	0.1203027657
98	0.119866106
99	0.1195554576
100	0.1191968995
101	0.1189029151
102	0.1186646519
103	0.118542172
104	0.1182309693
105	0.1178236992
106	0.1175566705
107	0.117270218
108	0.1170463396
109	0.1167750865
110	0.1165426724
111	0.1164118952
112	0.1162072607
113	0.1158350405
114	0.115637852
115	0.1154155232
116	0.1149779731
117	0.1147073913
118	0.114373463
119	0.1141680455
120	0.1136893784
121	0.1133434055
122	0.1130875581
123	0.1128837086
124	0.1125985389
125	0.1122632242
126	0.1120020774
127	0.1118142073
128	0.1116496406
129	0.1113243894
130	0.1110725961
131	0.110812561
132	0.1107062021
133	0.1104329899
134	0.1103296777
135	0.1100090434
136	0.109666799
137	0.1094160907
138	0.109228653
139	0.1090569453
140	0.1088079667
141	0.1085760949
142	0.1084692625
143	0.1083366012
144	0.1081302399
145	0.1079117448
146	0.1077825208
147	0.1074794691
148	0.1073497982
149	0.1071078555
150	0.1069199183
151	0.1067040544
152	0.1065990539
153	0.1064891605
154	0.1063160314
155	0.1062199484
156	0.1061433662
157	0.1060028647
158	0.1059011034
159	0.1057956005
160	0.1057325095
161	0.1056500229
162	0.1054677807
163	0.1053899064
164	0.1053415748
165	0.105275186
166	0.1051197997
167	0.1050582228
168	0.1049139437
169	0.1048097647
170	0.1047555419
171	0.10463521
172	0.1045911338
173	0.1043589932
174	0.1042563503
175	0.1041069203
176	0.1040059239
177	0.1037483819
178	0.1035345934
179	0.1034992835
180	0.1032483061
181	0.1030596175
182	0.10291942
183	0.1027336778
184	0.1027020823
185	0.1026877229
186	0.1026740113
187	0.1026309718
188	0.1025652844
189	0.1025346214
190	0.1023486102
191	0.1023374373
192	0.102326823
193	0.1022594344
194	0.1020492583
195	0.1018928625
196	0.101699127
197	0.1015089244
198	0.1013384249
199	0.1012319987
200	0.1011582922
201	0.1009155761
202	0.10089324
203	0.1006687866
204	0.1005815306
205	0.1005636557
206	0.1004466308
207	0.1004340156
208	0.100414477
209	0.1002599523
210	0.1001850604
211	0.09997323473
212	0.0998400944
213	0.09978962572
214	0.09972838127
215	0.099547474
216	0.09938486945
217	0.09933500394
218	0.09922111067
219	0.09891646889
220	0.09879188005
221	0.09867613503
222	0.09850504232
223	0.09835141193
224	0.09821713755
225	0.09814572683
226	0.09808928893
227	0.0980443438
228	0.09794492195
229	0.09786573574
230	0.09773751339
231	0.09767884275
232	0.09763255612
233	0.09761155042
234	0.09757120973
235	0.09751096683
236	0.09742786719
237	0.09722182191
238	0.09714132588
239	0.09698878502
240	0.09691907744
241	0.09667434972
242	0.09655026606
243	0.09647981524
244	0.09638836924
245	0.09634564939
246	0.09616093949
247	0.09603043503
248	0.09587997958
249	0.09569415482
250	0.09558662715
251	0.09557503271
252	0.09545593284
253	0.09543891731
254	0.09541612107
255	0.0953905231
256	0.09534917343
257	0.09532873285
258	0.09517040269
259	0.09509958621
260	0.09506693911
261	0.09502630776
262	0.09497909235
263	0.09495576486
264	0.09494693114
265	0.09486154495
266	0.09482521771
267	0.09460292554
268	0.09455280287
269	0.09449973832
270	0.09441131252
271	0.09439523404
272	0.09438102801
273	0.09436081557
274	0.09415311133
275	0.09410583589
276	0.09401498337
277	0.09397105165
278	0.09395333966
279	0.0938694475
280	0.09363796373
281	0.09361867417
282	0.09346308461
283	0.09343963609
284	0.09341139643
285	0.09340347154
286	0.09338618233
287	0.09337780934
288	0.09323303029
289	0.09321584088
290	0.09316425846
291	0.0930926996
292	0.09294728532
293	0.09291636543
294	0.09291135255
295	0.09290381005
296	0.09282730923
297	0.09277140965
298	0.09271442609
299	0.09270710186
300	0.09259966916
301	0.09242903022
302	0.0923918433
303	0.09234898732
304	0.09228266061
305	0.0922605819
306	0.09210919975
307	0.09203276411
308	0.09201423878
309	0.09200829144
310	0.09198170498
311	0.09190883346
312	0.09189170654
313	0.09188517757
314	0.09186656042
315	0.09182983873
316	0.09177173173
317	0.09175220442
318	0.09171038831
319	0.09165722502
320	0.09162289817
321	0.0916063132
322	0.09158295793
323	0.09157332777
324	0.09143014021
325	0.09124825461
326	0.0912327018
327	0.09113172611
328	0.09109835391
329	0.09098206284
330	0.09086461665
331	0.09085773002
332	0.09079619537
333	0.09066462684
334	0.09064171699
335	0.09061894149
336	0.09055195193
337	0.09048528694
338	0.09036315113
339	0.09033630509
340	0.09021942776
341	0.09019901262
342	0.09005485812
343	0.09003637084
344	0.0899432118
345	0.08993668407
346	0.08982245341
347	0.0898041598
348	0.08968542766
349	0.08962259328
350	0.0895012586
351	0.08926441636
352	0.0891309676
353	0.08911142971
354	0.08910556972
355	0.0890483674
356	0.08902176453
357	0.08887956371
358	0.08882463924
359	0.08880986829
360	0.08871392331
361	0.08864391913
362	0.08856471163
363	0.08855891326
364	0.08852610825
365	0.08843541541
366	0.08841559249
367	0.08836237031
368	0.08834325784
369	0.08830686838
370	0.08820948897
371	0.08820597529
372	0.08811486176
373	0.08806666663
374	0.08804976241
375	0.08792998072
376	0.0878931796
377	0.08785624249
378	0.08782424983
379	0.08780412845
380	0.08766299413
381	0.08762580146
382	0.0875933574
383	0.08758763043
384	0.08753382121
385	0.08747530095
386	0.08739016884
387	0.08730811668
388	0.08717070316
389	0.0871043632
390	0.08704852193
391	0.08698580936
392	0.08691764272
393	0.0868251787
394	0.08673476139
395	0.08668948799
396	0.08667147408
397	0.08666160682
398	0.08660981927
399	0.08643086014
400	0.08634324552
401	0.08630170074
402	0.08618567155
403	0.08616975896
404	0.08614987018
405	0.08614709997
406	0.08613252507
407	0.08606208002
408	0.08604905064
409	0.08604064816
410	0.08603124597
411	0.08598749364
412	0.08587610048
413	0.08579912651
414	0.08573150847
415	0.08572383815
416	0.08569855345
417	0.08568425079
418	0.08567586668
419	0.08566532289
420	0.08563034152
421	0.0855480155
422	0.08546147534
423	0.08532727523
424	0.08531322934
425	0.08531134833
426	0.08526439588
427	0.08521269809
428	0.08519885119
429	0.08515782235
430	0.08512206351
431	0.08510166038
432	0.08503568522
433	0.08503000337
434	0.08499074618
435	0.08490689046
436	0.08486007725
437	0.08483628976
438	0.08473212259
439	0.08469424697
440	0.08456214079
441	0.08453073315
442	0.08450303863
443	0.08448767916
444	0.08446387088
445	0.08445212039
446	0.08440018742
447	0.08439383977
448	0.08433240841
449	0.08428300451
450	0.08414550161
451	0.0840602317
452	0.08401593109
453	0.08399556318
454	0.08397008835
455	0.08393364431
456	0.08389962754
457	0.08385763277
458	0.08385071132
459	0.08377790032
460	0.08374826286
461	0.08373292117
462	0.08368334852
463	0.08362553994
464	0.08360074162
465	0.0835744932
466	0.08356732344
467	0.08353457415
468	0.08351870228
469	0.08348406801
470	0.08344348243
471	0.08342485901
472	0.08329473738
473	0.08317264489
474	0.083049153
475	0.08293951977
476	0.08288198216
477	0.08282968
478	0.08280871096
479	0.08269803448
480	0.0826371999
481	0.08259226319
482	0.08252431688
483	0.08245743678
484	0.08238878347
485	0.08236295667
486	0.08233597783
487	0.0823183958
488	0.08222711852
489	0.08218284053
490	0.08210381174
491	0.0819970107
492	0.08190259065
493	0.08176358308
494	0.0816888658
495	0.08158186231
496	0.08153868923
497	0.08139797415
498	0.0813607866
499	0.0812844527
500	0.08124222431
501	0.08118448827
502	0.08116810578
503	0.08108349961
504	0.0810580707
505	0.08104254575
506	0.08100516177
507	0.08095316471
508	0.08081290927
509	0.08079479987
510	0.08076901102
511	0.08073285232
512	0.08067065727
513	0.08065351786
514	0.08055299574
515	0.08052108367
516	0.08050870435
517	0.08049197332
518	0.08044938065
519	0.0803205661
520	0.08023700303
521	0.08019571071
522	0.08007866116
523	0.08006848555
524	0.07999284566
525	0.07991819821
526	0.07987260834
527	0.07984127979
528	0.07974084664
529	0.07970570332
530	0.0796291932
531	0.07961492345
532	0.07951440741
533	0.07946797009
534	0.07938356536
535	0.07934498834
536	0.07926441424
537	0.07918076008
538	0.07912896195
539	0.07900886812
540	0.07892714103
541	0.07891781117
542	0.07888822347
543	0.07881236363
544	0.07879226466
545	0.07878152656
546	0.07868029174
547	0.07855900685
548	0.0785230528
549	0.07851210744
550	0.07839233112
551	0.07834998194
552	0.07831147858
553	0.07827166583
554	0.07824335504
555	0.07818430196
556	0.07807394442
557	0.07800100102
558	0.07788889891
559	0.07783633991
560	0.07772524729
561	0.0776723505
562	0.07760251632
563	0.07755091894
564	0.0775136357
565	0.07748498753
566	0.07747368616
567	0.0774654251
568	0.07738821377
569	0.0773711424
570	0.07733881795
571	0.0773191248
572	0.07729312615
573	0.07727171331
574	0.07721446921
575	0.0771966795
576	0.07716919206
577	0.07716049015
578	0.07703218345
579	0.07697941351
580	0.07693216448
581	0.07688361936
582	0.07684823566
583	0.07675005002
584	0.07666697598
585	0.07664508359
586	0.07656332804
587	0.07653175336
588	0.07650292791
589	0.07649785327
590	0.07649191366
591	0.07648150161
592	0.07639083951
593	0.07632577448
594	0.07629788824
595	0.07621316035
596	0.07615019185
597	0.07613746176
598	0.07607508656
599	0.07599883764
